ProductID;Weight;FatContent;ProductVisibility;ProductType;MRP;OutletID;EstablishmentYear;OutletSize;LocationType;OutletType;OutletSales
FDX07;19.2;Regular;0;Fruits and Vegetables;182.095;OUT010;1998;;Tier 3;Grocery Store;732.38
FDE51;5.925;Regular;0.161466534;Dairy;45.5086;OUT010;1998;;Tier 3;Grocery Store;178.4344
FDV38;19.25;Low Fat;0.170348551;Dairy;55.7956;OUT010;1998;;Tier 3;Grocery Store;163.7868
FDM39;6.42;LF;0.089498926;Dairy;178.1002;OUT010;1998;;Tier 3;Grocery Store;358.2004
FDC46;17.7;LF;0.195068226;Snack Foods;185.4266;OUT010;1998;;Tier 3;Grocery Store;184.4266
FDW20;20.75;Low Fat;0.040421193;Fruits and Vegetables;122.173;OUT010;1998;;Tier 3;Grocery Store;369.519
FDB14;20.25;Regular;0.171938781;Canned;92.512;OUT010;1998;;Tier 3;Grocery Store;186.424
FDS52;8.89;Low Fat;0.009163216;Frozen Foods;101.7016;OUT010;1998;;Tier 3;Grocery Store;101.2016
NCN07;18.5;Low Fat;0.056816465;Others;132.1284;OUT010;1998;;Tier 3;Grocery Store;263.6568
FDI32;17.7;Low Fat;0.291865402;Fruits and Vegetables;115.1834;OUT010;1998;;Tier 3;Grocery Store;345.5502
FDR47;17.85;LF;0;Breads;196.5794;OUT010;1998;;Tier 3;Grocery Store;585.2382
NCU05;11.8;Low Fat;0.098312421;Health and Hygiene;81.4618;OUT010;1998;;Tier 3;Grocery Store;161.1236
FDF24;15.5;Regular;0.042464962;Baking Goods;81.5934;OUT010;1998;;Tier 3;Grocery Store;327.5736
FDX40;12.85;Low Fat;0.165694219;Frozen Foods;39.7164;OUT010;1998;;Tier 3;Grocery Store;231.6984
NCZ54;14.65;Low Fat;0;Household;161.5552;OUT010;1998;;Tier 3;Grocery Store;324.9104
FDE10;6.67;Regular;0.150554711;Snack Foods;130.0626;OUT010;1998;;Tier 3;Grocery Store;131.1626
FDR44;6.11;Regular;0;Fruits and Vegetables;131.2968;OUT010;1998;;Tier 3;Grocery Store;260.9936
FDP28;13.65;Regular;0.134975628;Frozen Foods;260.0936;OUT010;1998;;Tier 3;Grocery Store;260.9936
FDK21;7.905;Low Fat;0.016758569;Snack Foods;250.4408;OUT010;1998;;Tier 3;Grocery Store;500.6816
FDE08;18.2;Low Fat;0.082551042;Fruits and Vegetables;147.3734;OUT010;1998;;Tier 3;Grocery Store;296.9468
FDC08;19;Regular;0.173154079;Fruits and Vegetables;228.272;OUT010;1998;;Tier 3;Grocery Store;452.744
NCK19;9.8;Low Fat;0.151420934;Others;194.3478;OUT010;1998;;Tier 3;Grocery Store;387.4956
FDT57;15.2;Low Fat;0.031860325;Snack Foods;235.1248;OUT010;1998;;Tier 3;Grocery Store;474.0496
NCZ42;10.5;Low Fat;0;Household;238.3248;OUT010;1998;;Tier 3;Grocery Store;711.0744
FDR04;7.075;Low Fat;0.03777249;Frozen Foods;98.0068;OUT010;1998;;Tier 3;Grocery Store;291.6204
FDV51;16.35;Low Fat;0.054463442;Meat;163.8842;OUT010;1998;;Tier 3;Grocery Store;165.7842
FDC02;21.35;Low Fat;0.115194717;Canned;258.3278;OUT010;1998;;Tier 3;Grocery Store;520.6556
FDN09;14.15;Low Fat;0.05837308;Snack Foods;243.9828;OUT010;1998;;Tier 3;Grocery Store;731.0484
FDB15;10.895;Low Fat;0.228993134;Dairy;263.4568;OUT010;1998;;Tier 3;Grocery Store;527.3136
FDQ37;20.75;Low Fat;0.149404057;Breakfast;192.8478;OUT010;1998;;Tier 3;Grocery Store;774.9912
FDC15;18.1;Low Fat;0.297883712;Dairy;156.7288;OUT010;1998;;Tier 3;Grocery Store;314.2576
NCD19;8.93;Low Fat;0.022059594;Household;56.0614;OUT010;1998;;Tier 3;Grocery Store;276.307
NCM55;15.6;Low Fat;0.111685868;Others;184.7924;OUT010;1998;;Tier 3;Grocery Store;370.1848
FDR49;8.71;Low Fat;0.233039817;Canned;49.5376;OUT010;1998;;Tier 3;Grocery Store;95.8752
FDA44;19.7;Low Fat;0.089083914;Fruits and Vegetables;54.593;OUT010;1998;;Tier 3;Grocery Store;56.593
